name,filename,result,image_url
Michael van Lingen,michael_van_lingen.svg,exists,
Divan la Cock,divan_la_cock.svg,exists,
Jan Nicol Loftie-Eaton,jan_nicol_loftie-eaton.svg,exists,
Stephan Baard,stephan_baard.svg,exists,
Gerhard Erasmus(c),gerhard_erasmus_c.svg,exists,
Jan Frylinck,jan_frylinck.svg,exists,
David Wiese,david_wiese.jpg,exists,
JJ Smit,jj_smit.svg,exists,
Pathum Nissanka,pathum_nissanka.svg,exists,
Kusal Mendis†,kusal_mendis.svg,exists,
Dhananjaya de Silva,dhananjaya_de_silva.svg,exists,
Danushka Gunathilaka,danushka_gunathilaka.svg,exists,
Bhanuka Rajapaksa,bhanuka_rajapaksa.svg,exists,
Dasun Shanaka(c),dasun_shanaka_c.svg,exists,
Wanindu Hasaranga de Silva,wanindu_hasaranga_de_silva.jpg,exists,
Chamika Karunaratne,chamika_karunaratne.jpg,exists,
Pramod Madushan,pramod_madushan.svg,exists,
Dushmantha Chameera,dushmantha_chameera.svg,exists,
Maheesh Theekshana,maheesh_theekshana.svg,exists,
Gerhard Erasmus,gerhard_erasmus.svg,exists,
Bernard Scholtz,bernard_scholtz.svg,exists,
Ben Shikongo,ben_shikongo.svg,exists,
Charith Asalanka,charith_asalanka.svg,exists,
David Warner,OIP.png,exists,
Aaron Finch(c),aaron_finch_c.svg,exists,
Mitchell Marsh,mitchell_marsh.jpg,exists,
Glenn Maxwell,glenn_maxwell.jpg,exists,
Marcus Stoinis,marcus_stoinis.jpg,exists,
Josh Hazlewood,josh_hazlewood.jpg,exists,
Pat Cummins,pat_cummins.jpg,exists,
Mitchell Starc,mitchell_starc.jpg,exists,
Ashton Agar,ashton_agar.jpg,exists,
Binura Fernando,binura_fernando.svg,exists,
Lahiru Kumara,lahiru_kumara.svg,exists,
Dasun Shanaka,dasun_shanaka.svg,exists,
Regis Chakabva†,regis_chakabva.svg,exists,
Craig Ervine(c),craig_ervine_c.svg,exists,
Wessly Madhevere,wessly_madhevere.svg,exists,
Sean Williams,sean_williams.svg,exists,
Sikandar Raza,sikandar_raza.jpg,exists,
Milton Shumba,milton_shumba.svg,exists,
Ryan Burl,ryan_burl.svg,exists,
Luke Jongwe,luke_jongwe.svg,exists,
Paul Stirling,paul_stirling.jpg,exists,
Andy Balbirnie(c),andy_balbirnie_c.svg,exists,
Lorcan Tucker†,lorcan_tucker.svg,exists,
Harry Tector,harry_tector.svg,exists,
Curtis Campher,curtis_campher.svg,exists,
George Dockrell,george_dockrell.svg,exists,
Gareth Delany,gareth_delany.svg,exists,
Mark Adair,mark_adair.svg,exists,
Simi Singh,simi_singh.svg,exists,
Barry McCarthy,barry_mccarthy.svg,exists,
Josh Little,josh_little.svg,exists,
Richard Ngarava,richard_ngarava.svg,exists,
Tendai Chatara,tendai_chatara.svg,exists,
Blessing Muzarabani,blessing_muzarabani.svg,exists,
Hazratullah Zazai,ZAZAI-min.png,exists,
Rahmanullah Gurbaz†,rahmanullah_gurbaz.svg,exists,
Ibrahim Zadran,ibrahim_zadran.svg,exists,
Usman Ghani,f56507e83d895a34b77373e3592d195e.png,exists,
Najibullah Zadran,OIP.png,exists,
Mohammad Nabi(c),mohammad_nabi_c.svg,exists,
Azmatullah Omarzai,OIP.png,exists,
Rashid Khan,rashid_khan.svg,exists,
Mujeeb Ur Rahman,OIP.png,exists,
Fareed Ahmad,afghanistan-s-fareed-ahmad-celebrates-the-1437946.png,exists,
Fazalhaq Farooqi,fazalhaq_farooqi.svg,exists,
Jos Buttler(c)†,jos_buttler_c.svg,exists,
Alex Hales,alex_hales.svg,exists,
Dawid Malan,dawid_malan.svg,exists,
Ben Stokes,ben_stokes.svg,exists,
Liam Livingstone,liam_livingstone.svg,exists,
Harry Brook,harry_brook.svg,exists,
Moeen Ali,moeen_ali.svg,exists,
Chris Woakes,chris_woakes.svg,exists,
Mark Wood,mark_wood.svg,exists,
Sam Curran,sam_curran.svg,exists,
Adil Rashid,adil_rashid.svg,exists,
Mohammad Nabi,Mohammad-Nabi.jpg,exists,
Muhammad Waseem,muhammad_waseem.svg,exists,
Vriitya Aravind†,vriitya_aravind.svg,exists,
Chundangapoyil Rizwan(c),chundangapoyil_rizwan_c.svg,exists,
Alishan Sharafu,alishan_sharafu.svg,exists,
Basil Hameed,basil_hameed.svg,exists,
Zane Green†,zane_green.svg,exists,
Ruben Trumpelmann,ruben_trumpelmann.svg,exists,
Junaid Siddique,junaid_siddique.svg,exists,
Zahoor Khan,zahoor_khan.svg,exists,
Ahmed Raza,ahmed_raza.svg,exists,
Karthik Meiyappan,karthik_meiyappan.svg,exists,
Aayan Afzal Khan,aayan_afzal_khan.svg,exists,
Chirag Suri,chirag_suri.svg,exists,
Kashif Daud,kashif_daud.svg,exists,
Zawar Farid,zawar_farid.svg,exists,
Vikramjit Singh,vikramjit_singh.svg,exists,
Max O'Dowd,max_o_dowd.svg,exists,
Bas de Leede,bas_de_leede.svg,exists,
Colin Ackermann,colin_ackermann.svg,exists,
Tom Cooper,tom_cooper.svg,exists,
Scott Edwards(c)†,scott_edwards_c.svg,exists,
Roelof van der Merwe,roelof_van_der_merwe.svg,exists,
Tim Pringle,tim_pringle.svg,exists,
Logan van Beek,logan_van_beek.svg,exists,
Fred Klaassen,fred_klaassen.svg,exists,
Paul van Meekeren,paul_van_meekeren.svg,exists,
Kyle Mayers,kyle_mayers.svg,exists,
Johnson Charles,johnson_charles.svg,exists,
Evin Lewis,evin_lewis.svg,exists,
Brandon King,brandon_king.svg,exists,
Nicholas Pooran(c)†,nicholas_pooran_c.svg,exists,
Rovman Powell,rovman_powell.svg,exists,
Odean Smith,odean_smith.svg,exists,
Obed McCoy,obed_mccoy.svg,exists,
Akeal Hosein,akeal_hosein.svg,exists,
Alzarri Joseph,alzarri_joseph.svg,exists,
Jason Holder,jason_holder.svg,exists,
Mohammad Rizwan†,mohammad_rizwan.svg,exists,
Babar Azam(c),babar_azam_c.svg,exists,
Shan Masood,shan_masood.svg,exists,
Iftikhar Ahmed,iftikhar_ahmed.svg,exists,
Shadab Khan,shadab_khan.svg,exists,
Haider Ali,haider_ali.svg,exists,
Mohammad Nawaz,mohammad_nawaz.svg,exists,
Asif Ali,asif_ali.svg,exists,
Shaheen Shah Afridi,shaheen_shah_afridi.jpg,exists,
Haris Rauf,haris_rauf.svg,exists,
KL Rahul,kl_rahul.svg,exists,
Rohit Sharma(c),rohit_sharma_c.svg,exists,
Virat Kohli,virat_kohli.svg,exists,
Suryakumar Yadav,suryakumar_yadav.svg,exists,
Axar Patel,axar_patel.svg,exists,
Hardik Pandya,hardik_pandya.svg,exists,
Dinesh Karthik†,dinesh_karthik.svg,exists,
Ravichandran Ashwin,ravichandran_ashwin.svg,exists,
Bhuvneshwar Kumar,bhuvneshwar_kumar.svg,exists,
Arshdeep Singh,arshdeep_singh.svg,exists,
Mohammed Shami,mohammed_shami.svg,exists,
Naseem Shah,naseem_shah.svg,exists,
Najmul Hossain Shanto,najmul_hossain_shanto.svg,exists,
Soumya Sarkar,soumya_sarkar.svg,exists,
Litton Das,litton_das.svg,exists,
Shakib Al Hasan(c),shakib_al_hasan_c.svg,exists,
Afif Hossain,OIP.png,exists,
Yasir Ali,yasir_ali.svg,exists,
Nurul Hasan†,nurul_hasan.svg,exists,
Mosaddek Hossain,mosaddek_hossain.svg,exists,
Taskin Ahmed,taskin_ahmed.svg,exists,
Hasan Mahmud,hasan_mahmud.svg,exists,
Shariz Ahmad,shariz_ahmad.svg,exists,
Shakib Al Hasan,shakib_al_hasan.svg,exists,
Mustafizur Rahman,mustafizur_rahman.svg,exists,
Fionn Hand,fionn_hand.svg,exists,
George Munsey,george_munsey.svg,exists,
Michael Jones,michael_jones.svg,exists,
Matthew Cross†,matthew_cross.svg,exists,
Richie Berrington(c),richie_berrington_c.svg,exists,
Calum MacLeod,calum_macleod.svg,exists,
Michael Leask,michael_leask.svg,exists,
Chris Greaves,chris_greaves.svg,exists,
Shamarh Brooks,shamarh_brooks.svg,exists,
Mark Watt,mark_watt.svg,exists,
Brad Wheal,brad_wheal.svg,exists,
Josh Davey,josh_davey.svg,exists,
Safyaan Sharif,safyaan_sharif.svg,exists,
Quinton de Kock†,quinton_de_kock.svg,exists,
Temba Bavuma(c),temba_bavuma_c.svg,exists,
Kagiso Rabada,kagiso_rabada.svg,exists,
Wayne Parnell,wayne_parnell.svg,exists,
Lungi Ngidi,lungi_ngidi.svg,exists,
Keshav Maharaj,keshav_maharaj.svg,exists,
Anrich Nortje,anrich_nortje.svg,exists,
Timm van der Gugten,timm_van_der_gugten.svg,exists,
Finn Allen,finn_allen.svg,exists,
Devon Conway†,devon_conway.svg,exists,
Kane Williamson(c),kane_williamson_c.svg,exists,
Glenn Phillips,glenn_phillips.svg,exists,
James Neesham,james_neesham.svg,exists,
Tim David,OIP.png,exists,
Matthew Wade†,matthew_wade.svg,exists,
Adam Zampa,adam_zampa.svg,exists,
Trent Boult,trent_boult.svg,exists,
Tim Southee,tim_southee.svg,exists,
Mitchell Santner,mitchell_santner.svg,exists,
Lockie Ferguson,lockie_ferguson.svg,exists,
Ish Sodhi,ish_sodhi.svg,exists,
Aryan Lakra,aryan_lakra.svg,exists,
Stephan Myburgh,stephan_myburgh.svg,exists,
Brandon Glover,brandon_glover.svg,exists,
Shoriful Islam,shoriful_islam.svg,exists,
Daryl Mitchell,daryl_mitchell.svg,exists,
Kasun Rajitha,kasun_rajitha.svg,exists,
Deepak Hooda,deepak_hooda.svg,exists,
Rilee Rossouw,rilee_rossouw.svg,exists,
Aiden Markram,aiden_markram.svg,exists,
David Miller,david_miller.svg,exists,
Tristan Stubbs,tristan_stubbs.svg,exists,
Nasum Ahmed,nasum_ahmed.svg,exists,
Mohammad Haris,mohammad_haris.svg,exists,
Mohammad Wasim,mohammad_wasim.svg,exists,
Ebadot Hossain,ebadot_hossain.svg,exists,
Heinrich Klaasen,heinrich_klaasen.svg,exists,
Brad Evans,brad_evans.svg,exists,
Fakhar Zaman,fakhar_zaman.svg,exists,
Cameron Green,cameron_green.svg,exists,
Steven Smith,OIP.png,exists,
Matthew Wade(c)†,matthew_wade_c.svg,exists,
Kane Richardson,kane_richardson.svg,exists,
Gulbadin Naib,gulbadin_naib.svg,exists,
Darwish Rasooli,OIP.png,exists,
Naveen-ul-Haq,OIP.png,exists,
Rishabh Pant†,rishabh_pant.svg,exists,
Tony Munyonga,tony_munyonga.svg,exists,
Wellington Masakadza,wellington_masakadza.svg,exists,
Tabraiz Shamsi,tabraiz_shamsi.svg,exists,
Phil Salt,phil_salt.svg,exists,
Chris Jordan,chris_jordan.svg,exists,
Regis Chakabva(c)†,regis_chakabva_c.svg,exists,
Mehidy Hasan Miraz,mehidy_hasan_miraz.svg,exists,
Nurul Hasan,nurul_hasan.svg,exists,
Craig Ervine,craig_ervine.svg,exists,
Regis Chakabva,regis_chakabva.svg,exists,
Mohammad Rizwan,mohammad_rizwan.svg,exists,
Babar Azam,babar_azam.svg,exists,
Rahmanullah Gurbaz,OIP.png,exists,
Kusal Mendis,kusal_mendis.svg,exists,
Vriitya Aravind,vriitya_aravind.svg,exists,
Chundangapoyil Rizwan,chundangapoyil_rizwan.svg,exists,
Scott Edwards,scott_edwards.svg,exists,
Andy Balbirnie,andy_balbirnie.svg,exists,
Lorcan Tucker,lorcan_tucker.svg,exists,
Jos Buttler,jos_buttler.svg,exists,
Temba Bavuma,temba_bavuma.svg,exists,
Quinton de Kock,quinton_de_kock.svg,exists,
Matthew Cross,matthew_cross.svg,exists,
Richie Berrington,richie_berrington.svg,exists,
Matthew Wade,OIP.uOR8m1jipH9xYmzdWjoaXAHaEz,exists,
Nicholas Pooran,nicholas_pooran.svg,exists,
Devon Conway,devon_conway.svg,exists,
Kane Williamson,kane_williamson.svg,exists,
Rohit Sharma,rohit_sharma.svg,exists,
Dinesh Karthik,dinesh_karthik.svg,exists,
Rishabh Pant,rishabh_pant.svg,exists,
Aaron Finch,OIP.lBbbQ9KC3yLMcCjNPlR76AHaEK,exists,
Zane Green,zane_green.svg,exists,
